id,parren,type,name
288,59,oras,Budapesta
289,88,oras,Montevideo
290,81,oras,Caracas
291,80,oras,Ho Chi Min
292,80,oras,Hanoi
293,62,oras,Buenos Aires
294,62,oras,Bahia Bianca
295,62,oras,Mar del Plata
296,100,oras,Canberra
297,100,oras,Sydney
298,100,oras,Melbourne
299,100,oras,Brisbane
300,100,oras,Perth
301,90,oras,Belmopan
302,90,oras,Belize City
303,90,oras,Punta Gorda
304,90,oras,Dangriga
305,85,oras,La Paz
306,85,oras,Salar de Uyuni
307,85,oras,Colchani
308,85,oras,Potosi
309,85,oras,Sucre
310,61,oras,Brasilia
311,61,oras,Rio de Janeiro
312,61,oras,Sao Paolo
313,61,oras,Manaus
314,106,oras,Ottawa
315,106,oras,Montreal
316,106,oras,Toronto
317,106,oras,Vancouver
318,84,oras,Santiago de Chile
319,84,oras,Punta Arenas
320,86,oras,Bogota
321,86,oras,Cartagena
322,93,oras,San Jose
323,93,oras,Puntarenas
324,93,oras,Poas
325,93,oras,Tortuguero
326,60,oras,Havana
327,60,oras,Varadero
328,82,oras,Quito
329,69,oras,Talin
330,105,oras,Suva
331,77,oras,Manila
332,77,oras,Boracay
333,89,oras,Guatemala City
334,89,oras,Antigua
335,102,oras,Honolulu
336,91,oras,Tegucigalpa
337,79,oras,Amman
338,79,oras,Aqaba
339,79,oras,Petra
340,70,oras,Dublin
341,75,oras,Reykjavik
342,95,oras,Nairobi
343,68,oras,Riga
344,67,oras,Vilnius
345,99,oras,Antananarivo
346,92,oras,Managua
347,103,oras,Wellington
348,103,oras,Auckland
349,71,oras,Amsterdam
350,71,oras,Haga
351,71,oras,Eindhoven
352,87,oras,Asuncion
353,83,oras,Lima
354,22,oras,Strobl am Wolfgangsee
355,22,oras,Abtenau
356,22,oras,Golling
357,22,oras,Bad Goisern
358,22,oras,Bischofshofen
359,22,oras,Neustift/Ghetarul Stubai
360,22,oras,Mattrei in Osttirol
361,22,oras,Pians/Ischgl
362,22,oras,Ischgl
363,22,oras,Kappl/Ischgl
364,22,oras,Landeck/Ischgl
365,22,oras,Finkenberg/Ghetarul Hintertux
366,22,oras,Gerlos
368,1,oras,Didim
369,0,oras,Ozdere
370,1,oras,Ozdere
371,20,oras,Sarafovo
372,20,oras,Kranevo
373,20,oras,Riviera
374,20,oras,St. Vlas
375,20,oras,Ravda
376,20,oras,Aheloy
377,20,oras,Kavarne Area
378,20,oras,Topola Skies
379,20,oras,Byala
