Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Reference
6384;Size:size:0;39:00:00;B-6384-0404-39
6384;Size:size:1;40:00:00;B-6384-0404-40
6384;Size:size:2;41:00:00;B-6384-0404-41
6384;Size:size:3;42:00:00;B-6384-0404-42
6384;Size:size:4;43:00:00;B-6384-0404-43
6384;Size:size:5;44:00:00;B-6384-0404-44
6384;Size:size:6;45:00:00;B-6384-0404-45
6384;Size:size:7;46:00:00;B-6384-0404-46
6384;Size:size:8;47:00:00;B-6384-0404-47
6384;Size:size:9;48:00:00;B-6384-0404-48
